विठ्ठल vitthal
मोहनदास mohandas
जवाहरलाल javaharlal
रविंद्रनाथ ravindranath
गंगाधर gangadhar
बहादुर bahadur
आनंद anand
अजित ajit
बबिता babita
बळ्वंत balvant
बिशन bishan
भद्रेश्वर bhadreshwar
छगन chhagan
चिंतामन chintaman
देवदत्त devdutt
दीपा deepa
प्रविण pravin
अनंत anant
दशरथ dashrath
झेबु zebu
गीता geeta
सीता seeta
धनंजय dhananjay
काशिराम kashiram
ज्ञानेश्वर dnyaneshwar
धोंडीबा dhondiba
हसन hasan
फत्तेलाल fattelal
गिरिराज giriraj
घनश्याम ghanshyam
हरिश्चंद्र harishchandra
संजय sanjay
हर्षद harshad
इंदिरा indira
जगन्नाथ jagannath
जितेंद्र jitendra
काशिनाथ kashinath
नारायन narayan
विश्वनाथ vishwanath
कस्तुरबा kasturba
कुसुम kusum
लीला leela
माधव madhav
मुकुंद mukund
गायत्री gayatri
नसिरुद्यिन nasirudyin
नलिनी nalini
निलेश nilesh
नित्यानंद nityanand
प्रभाकर prabhakar
प्रमिला pramila
प्रेमचंद premchand
प्रेमानंद premanand
गजानन gajanan
तुकाराम tukaram
राजाराम rajaram
अरुन arun
मनोहर manohar
डिगांबर digambar
महादेव mahadeo
बळिराम baliram
प्रल्हाद pralhad
प्रमोद pramod
दिलीप dilip
सुखदेव sukhdeo
बबन baban
तानाबाई tanabai
अंजना anjana
विमल vimal
चंद्रभागा chandrabhaga
आशा asha
मीरा meera
पांडुरंग pandurang
मोहन mohan
शैला shaila
जईबाई jaibai
उध्दव udhdav
भगवान bhagwan
संतोष santosh
ईश्वर ishwar
ज्ञानदेव dnyandeo
गोविंदा govinda
आण्णा anna
शकुंतलाबाई shakuntalabai
प्रिया priya
कल्पना kalpana
अबन aban
अब्बास abbas
अब्दुल abdul
अब्बुदिन abbudin
कोकिळा kokila
अभय abhay
शालीग्राम shaligram
अभया abhaya
अभिर abhir
अभि abhi
अभिभाव abhibhav
अभिचंद्र abhichandra
अभिहिता abhihita
अभिजात abhijat
अभिलय abhilay
अभिजीत abhijit
अभिलाश abhilash
अभिमन्यु abhimanyu
अभिनंदन abhinandan
अभिनव abhinav
अभिनय abhinay
अभिनीत abhinit
अभिनीवेश abhinivesh
अभिप्रणय abhipranay
अभिराम abhiram
अभिरुप abhirup
अभिशेक abhishek
अभुत abhut
अभ्यास abhyas
अभ्युदय abhyuday
अबोध abodh
अच्युत achyut
अचल achal
अचर achar
अचिर achir
अच्युत achyut
अच्युतम achyutam
अच्युतानंद achyutanand
अदिप adip
अधिर adhir
आदेश adesh
आदिश adish
आदेश्वर adeshwar
आदिनाथ adinath
अधिराज adhiraj
अधिरथ adhirath
आदिनारायन adinarayan
आदित्य aditya
अद्वैत advait
सुशिला sushila
आगमनी agmani
अगस्त agasta
अग्नी agni
अग्रसेन agrasen
अग्रिमा agrima
अहिराज ahiraj
अजय ajay
अजित ajit
अजितेश ajitesh
अकल्प akalpa
आकाश akash
अखिल akhil
अकंद akand
अखिलेश akhilesh
अखिलेश्वर akhileshwar
अकिल akil
अक्रम akram
आक्रांत akrant
अक्षय akshay
अक्षक akshak
अक्षला akshala
अक्षन akshan
अक्षर akshar
अक्षत akshat
अक्षयकुमार akshaykumar
अक्षित akshit
अक्षया akshaya
अकुल akul
अल्लाउद्दीन allauddeen
अलाउद्दीन alauddeen
अलगनंदन alagnandan
अलगप्पन algappan
अलगर algar
अलग्रासन algrasan
अलख alakh
अलंकार alankar
अलवंदन alvandan
अलिफ alif
अलिल alil
अलिम alim
अलोक alok
अल्पेश alpesh
अमल amal
अमलेश amalesh
अमलेंदु amalendu
अमलमणी amalmani
अमन aman
दयाराम dayaram
रमेश ramesh
श्रीकृष्ण shrikrishna
पर्शुराम parshuram
रामदास ramdas
केशव keshav
राजेश्वर rajeshwar
अशोक ashok
अरुण arun
भागवत bhagvat
सुदाम sudam
तुळशीराम tulshiram
सारंगधर sarangdhar
आत्माराम atmaram
शिवराम shivram
नामदेव namdeo
प्रदीप pradip
नरहरी narhari
सुबोध subodh
पुंडलिक pundlik
मारोती maroti
कचरु kacharu
निवृती nivriti
सदाशिव sadashiv
सखाराम sakharam
प्रशांत prashant
बाळकृष्ण balkrishna
पुरुषोत्तम purushottam
समर्थ samarth
अनिता anita
अर्चना archana
मंगला mangala
रामभाऊ rambhau
राजाभाऊ rajabhau
बाळाभाऊ balabhau
लता lata
अंबादास ambadas
ज्ञानेश्वरी dnyaneshwari
जयराम jayram
विश्वनाथ vishwanath
सुधाकर sudhakar
दुर्गा durga
गुलाबराव gulabrao
मंजुषा manjusha
कैलाश kailash
डींपल dimpal
प्रतिक्षा pratiksha
रुपाली rupali
उमा uma
पुष्पा pushpa
सविता savita
मेघा megha
हेमलता hemlata
योगिता yogita
शीला shila
पल्लवी pallavi
मिनल minal
सोनल sonal
अमित amit
देविदास devidas
श्रध्दा shradhda
सुरेंद्र surendra
सुनिता sunita
उज्वला ujwala
उषा usha
नर्मदा narmada
रेणुका renuka
शैला shaila
रेखा rekha
अनिता anita
संगीता sangita
अन्विता anvita
किसन kisan
मधुकर madhukar
प्रार्थना prarthana
मुकाजी mukaji
रंजना ranjana
अजाबराव ajabrao
भोनाजी bhonaji
पदमाकर padamakar
शिल्पा shilpa
आनीश anish
मनोरमा manorama
नितिन nitin
सौरभ saurabh
मुक्ता mukta
उदय uday
मुकेश mukesh
अंजना anjana
प्रणव pranav
कल्यानी kalyani
कुमुद kumud
रामेश्वर rameshwar
अरुणा aruna
उत्तम uttam
राजश्री rajshri
सीमा seema
सुवर्णा suvarna
गोकुळा gokula
अमृत amrit
सुलोचना sulochana
उदयभान udaybhan
कविता kavita
केतकी ketaki
जयदेव jaydeo
दिपाली dipali
रविंद्र ravindra
सोनाली sonali
अजय ajay
चंदा chanda
चंद्रकला chandrakala
यशोदा yashoda
येनु yenu
माया maya
सावित्री savitri
दिपावली dipavali
प्रभुदास prabhudas
सरिता sarita
पद्मा padma
मीना meena
नथुराम nathuram
नथ्थु naththu
सिताराम sitaram
सुधाकर sudhakar
मिनल minal
महानंदा mahananda
जयश्री jayshri
स्मिता smita
मनिषा manisha
शिवदास shivdas
बद्रीविशाल badrivishal
भानुदास bhanudas
निता nita
राजकुमार rajkumar
प्रिती priti
सागर sagar
शोभा shobha
मुक्तेश्वर mukteshwar
अंकुश ankush
रुपल rupal
सेवकराम sevakram
सुर्यभान suryabhan
नरहरी narhari
गणपत ganpat
बापुराव bapurao
किर्ती kirti
भारती bharati
शुभांगी shubhangi
गिरधर girdhar
इंद्रायणी indrayani
विक्रम vikram
गोदावरी godavari
मीनाक्षी minakshi
साक्षी sakshi
वनिता vanita
स्वाती svati
पर्वत parvat
सुषमा sushama
शारदा sharada
अलगनंदन alagnandan
परशराम parashram
परशुराम parshuram
चांगदेव changdeo
शिवशंकर shivshankar
शिवकुमार shivkumar
राजकन्या rajkanya
सुपडा supada
नंदकिशोर nandkishor
नयना nayana
सुनयना sunayana
आगमप्रीत agampreet
अजिंक्य ajinkya
सारिका sarika
दिगांबर digambar
नलिनी nalini
काशिनाथ kashinath
भगवंत bhagvant
रश्मी rashmi
अमनबिर amanbir
अमन aman
अमनदीप amandip
अमनदेव amandeo
अमनजीत amanjit
अमनपाल amanpal
अमनप्रीत amanpreet
अमनवीर amanvir
अमनविर amanvir
अमर amar
अमरसिंग amarsingh
अमरकुमार amarkumar
अमरनाथ amarnath
अमरदीप amardip
अमरदेव amardeo
अमरेंद्र amarendra
अमरेश amaresh
अमरजीत amarjit
अमरज्योत amarjyot
अमरपती amarpati
अमरप्रीत amarpreet
अमरराज amarraj
अमर्त्य amartya
अंबादास ambadas
अंबरीश ambrish
अंभोज ambhoj
अंबुनाथ ambunath
अमीन ameen
अमीर ameer
अमेघ amegh
अमिद amid
आमिश amish
अमिता amita
अमितेश amitesh
अमितोश amitosh
अमित्युश amityush
अमोद amod
अमोघ amogh
अमोलिक amolik
अमरेश amaresh
अमरिक amarik
अमरिंदर amarindar
अमरिश amarish
अमृतांश amritansh
अमृतांशु amritanshu
अमृतबान amritban
अमृतेश amritesh
अमृतेश्वर amriteshwar
अमृतपाल amritpal
अमुल amul
अमुल्य amulya
आनंद anand
आनंदी anandi
अनल anal
आनंदम anandam
आनंदकर anandkar
अनंग anang
अनंगपाल anangpal
अनन्या ananya
आंचल anchal
अनील aneel
अनीस anees
अनीश anish
अंगद angad
अंगाई angai
अंगाती angati
अनिक anik
अनिकेत aniket
अनिमेश animesh
अनिमिश animish
अनिरुध anirudh
अनिरुद्ध aniruddha
अनिस anis
अनिश anish
अनित anit
अंजान anjan
अंजल anjal
अंजन anjan
अंजनीसुत anjanisut
अंजनीकुमार anjanikumar
अंजप्पन anjappan
विरप्पन virappan
अंजीबाबु anjibabu
अंजित anjit
अंजिव anjiv
अंजु anju
अंकुर ankur
अंकुश ankush
अन्नादुराई annadurai
अन्नमाया annamaya
अन्नपुर्ना annapurna
अन्नास्वामी annaswami
अनोख anokh
अनूप anup
अंसल ansal
अंश ansh
अंशक anshak
अंशल anshal
अंशी anshi
अंशु anshu
अंशुल anshul
अंशुमन anshuman
अंशुमत anshumat
अंशुपती anshupati
अंतक antak
अनु anu
अनुभव anubhav
अनुदीप anudip
अनुग्रह anugrah
अनुज anuj
अनुपम anupam
अनुराग anurag
अनुराज anuraj
अनुरोध anurodh
अनुरूप anurup
अनिरुध anirudh
अनुश्री anushri
अनुतोश anutosh
अनबोली anboli
अनवेश anvesh
अनवर anvar
अपार apar
अपूर्व apurva
अपूर्वा apurva
अप्पाराव apparao
अप्पादुराई appadurai
अप्पास्वामी appaswami
आराध्य aradhya
अरामनी aramani
अरण aran
अरांगन arangan
आरव arav
आरवली arvali
अर्ची archi
अर्चित archit
अर्चा archa
आरासन arasan
अरविंद aravind
आरिफ arif
आरिमा arima
अरिंजय arinjay
अरिसूदन arisudan
अरिव ariv
अरिवन arivan
अर्जा arja
अर्जित arjit
अर्जुन arjun
अरमान araman
अर्नव arnav
अर्नय arnay
अर्नेश arnesh
अर्पन arpan
अर्पिता arpita
अर्पित arpit
अर्श arsh
अरुई arui
अरुल arul
अरुलाप्पन arulappan
अर्षद arshad
अरुलदासन aruldasan
अरुलमणी arulmani
अरुलमोली arulmoli
अरुलमुरुगन arulmurugan
अरुलनाथन arulnathan
अरुमाई arumai
अरुपोरुल aruporul
अरुन्जीत arunjeet
अरुनन arunan
अरुनंद arunand
अरुनेश arunesh
अरुनकुमार arunkumar
आर्य arya
आर्यभट्ट aryabhatta
आर्यन aryan
असीम aseem
अशांक ashank
आशाराम asharam
आशय ashay
आशीम ashim
आशिर ashir
आशिर्वाद ashirwad
आशिष ashish
आशित ashit
अश्मित ashmit
अश्मी ashmi
अश्मिन ashmin
आशरफ ashraf
आश्रय ashray
आशय ashay
अश्वगोष ashwagosh
अश्वकेतु ashwaketu
अश्वपाल ashwapal
अश्वपती ashwapati
अश्वथ ashwath
अश्वथामा ashwathama
अश्वत्थामा ashwatthama
आशवानी ashwani
आश्वास ashwas
अश्विन ashvin
अश्वत्थामा ashwatthama
अश्विनी ashvini
अश्विनीकुमार ashwinikumar
आसिफ asif
आसिम asim
आसित asit
अटळ atal
आतमवीर atamvir
अतिंद्र atindra
अतीत ateet
आतिफ atif
अतिकांत atikant
अतिराज atiraj
अतिरथ atirath
अतिरेक atirek
अतिशय atishay
अतिशेष atishesh
आत्मा atma
अत्रल atral
अतुल atul
अवदेश avadesh
अवध avadh
अवधानी avadhani
अवकाश avakash
अवलोक avalok
अवनीपाल avanipal
अवनीश avanish
अवनी avani
अवनी avani
अवंती avanti
अवर्त avart
आवेश avesh
अवी avi
अविचल avichal
अविजित avijit
अविकांत avikant
अविलाश avilash
अविचन avichan
अविश avish
अविनेश avinesh
आयाज ayaz
आयूब ayub
आयुष ayush
आयुशमान ayushman
अय्यादुराई ayyadurai
अय्याप्पा ayyappa
अय्याप्पन ayyappan
अय्यास्वामी ayyaswami
अय्युब ayyub
आझम azam
आझीम azim
अझहर azhar
अझ्झाम azzam
अझिझ aziz
अवतार avatar
अनमोल anmol
अवबोध avabodh
अस्लम aslam
असगर asagar
पंचफुला panchphula
चंद्रभान chandrabhan
सुदाम sudam
शंभु shambhu
कैलास kailas
जगदेव jagdeo
मोतीराम motiram
काशीनाथ kashinath
सोपान sopan
धोंडिबा dhondiba
विजयकुमार vijaykumar
देवेंद्र devendra
रामविजय ramvijay
मनकर्णा mankarna
पुष्पलता pushpalata
पंढरी pandhari
रुस्तम rustam
त्र्यंबकराव tryambakrao
शिवदास shivdas
शिवशंकर shivshankar
नानुजी nanuji
अशोकआप्पा ashokappa
तेजराव tejrao
कान्होबा kanhoba
मधुसुदन madhusudan
मांगोजी mangoji
गोमाजी gomaji
परसराम parasram
नाना nana
सुरेंद्र surendra
शिवहरी shivhari
भिमाशंकर bhimashankar
चंद्रमोहन chandramohan
भाउराव bhaurao
तोताराम totaram
शांतीलाल shantilal
सुमन suman
योगिता yogita
रामधन ramdhan
जानुजी januji
जानुभाऊ janubhau
सुखराम sukhram
नामदेव namdeo
चहादु chahadu
बबनकुमार babankumar
विवेक vivek
नरेश naresh
सारंगधर sarangdhar
विश्राम vishram
बलदेव baldeo
नरहरी narhari
प्रदिप pradip
सुलभा sulabha
सुपडु supadu
राघोजी raghoji
भाऊजी bhauji
निर्मला nirmala
देवका devaka
बापुजी bapuji
शरद sharad
अभय abhay
निशा nisha
पंची panchi
तनुश्री tanushri
ऋतुश्री rutushri
आमला amala
देवश्री devshri
कडुजी kaduji
कबिर kabir
मिहिर mihir
तुलशी tulashi
कविश्वर kavishwar
गोमतीराम gomatiram
हरीहर harihar
आनंदराव anandrao
झाबुजी zabuji
अवधुत avadhut
प्रशांत prashant
उदेभाव udebhav
उल्हास ulhas
विष्णाजी vishnaji
भावराव bhavrao
भाऊराव bhaurao
हरिभाऊ haribhau
शामकांत shamkant
सावजी savaji
बेला bela
जुई jui
सोनाजी sonaji
दादाराव dadarao
गोवर्धन govardhan
बबलु babalu
सुदाम sudam
धनराज dhanraj
चिराग chirag
पुंजाजी punjaji
दिपचंद dipchand
डेबुजी debuji
नागोराव nagorao
शेषराव sheshrao
उमेश umesh
शामसुंदर shamsundar
धन्यवाद dhanyawad
दत्तुजी dattuji
विजयजीत vijayjeet
धोंडुराज dhonduraj
कडकुजी kadkuji
दशरथ dashrath
श्रीकांत shrikant
शेवंता shevanta
फत्तुजी fattuzi
बंडु bandu
विश्वपाल vishwapal
बहिर bahir
बाळ bal
बाळा bala
बालाजी balaji
बालचंद्रन balchandran
बालगोपाल balgopal
बालकृष्ण balkrishna
बाळमुरली balmurali
बालराजु balraju
बसिम basim
बाबा baba
बबुआ babua
बबुल babul
बचित्तर bachittar
बादल badal
बद्री badri
बदरी badari
बदलु badalu
बद्रिनारायन badrinarayan
बद्रीकेदार badrikedar
बादशाह badshah
बहा baha
बहाऊद्दीन bahauddeen
बहादर bahadar
बहिर bahir
बहु bahu
बहुबली bahubali
बहुक bahuk
बहुल bahul
बहुलीया bahuliya
बाहुबली bahubali
बाहुमित्र bahumitra
बाहुमुर्ती bahumurti
बायजु bayaju
बाई bai
बाइल bail
बजरंग bajrang
बक्षी bakshi
बकुर bakur
बला bala
बाळदैत्य baldaitya
बाळकुमार balkumar
बालक balak
बलम balam
बलराम balram
बालासुब्रमन्यम balasubramaniam
बळवंत balvant
बाळभद्र balbhadra
बलबिर balbir
बालचंद्र balchandra
बलदेव baldeo
बलेंद्र balendra
बलेंदु balendu
बलेश balesh
बलेश्वर baleshwar
बाळगोपाल balgopal
बाळगोविंद balgovind
बाली bali
बळीराम baliram
बलजीत baljit
बलकर balkar
बाळमोहन balmohan
बाळमुकुंद balmukund
बालपती balpati
बलराज balraj
बालसुदन balsudan
बलतेज baltej
बालुस्वामी baluswami
बलवीर balvir
बलविंदर balvindar
बलविंद्र balvindra
बलवान balwan
बलवंत balvant
बनाज banaj
बनारसी banarasi
बंधु bandhu
बंधुदत्त bandhudutt
बांके banke
बांकेलाल bankelal
बंकिम bankim
बनमाळी banmali
बंशिक banshik
बंसी bansi
बंसीधर bansidhar
बंसीलाल bansilal
बंटी banti
बनविहारी banvihari
बनवारी banwari
बनवारीलाल banwarilal
ब्रहस्पती brahaspati
बरींद्र barindra
बरसाती barsati
बरुन barun
बसंत basant
बसंता basanta
बसंती basanti
बसव basav
बसवराज basavraj
बसवेश्वर basaveshwar
बसदेव basdeo
बशार bashar
बहार bahar
बशीर bashir
बशिथा bashitha
बश्शर bashshar
बसिल basil
बसिम basim
बटुक batuk
भागवत bhagvat
भानोदय bhanoday
भानु bhanu
भानुजी bhanuji
भानुचंदर bhanuchandar
भानुमारुती bhanumaruti
भार्गव bhargaon
भवन bhavan
भद्र bhadra
भद्रवल्लभ bhadravallabh
भद्रचारु bhadracharu
भद्रेश bhadresh
भद्रक bhadrak
भाद्रकपिल bhadrakapil
भद्रकर bhadrakar
भद्रकाया bhadrakaya
भद्रक्ष bhadraksh
भद्रराम bhadraram
भद्रमुख bhadramukh
भद्रानंद bhadranand
भद्रंग bhadrang
भद्रपाल bhadrapal
भद्रसेन bhadrasen
भद्रश्री bhadrashri
भद्रेश्वर bhadreshwar
भदवीर bhadvir
भागाबाई bhagabai
भगत bhagat
भगवानदास bhagwandas
भागवती bhagvati
भागदत्त bhagdutt
भगीरथ bhagirath
भगवंत bhagvant
भाग्यराज bhagyaraj
भाईराम bhairam
भैरव bhairav
भैराम bhairam
भैरवदास bhairavdas
भैरवदत्त bhairavdutt
भैरवनाथ bhairavnath
भजन bhajan
भजनानंद bhajananand
भकोश bhakosh
भक्त bhakta
भक्तदास bhaktadas
भक्तराज bhaktaraj
भालचंद्र bhalchandra
भानुप्रकाश bhanuprakash
भानुप्रताप bhanupratap
भानुदेव bhanudeo
भानुदत्त bhanudutt
भानुज bhanuj
भानुकेशर bhanukeshar
भानुमती bhanumati
भानुमित्र bhanumitra
भानुप्रसाद bhanuprasad
भंवर bhanwar
भारतभुषन bharatbhushan
भरतकुमार bharatkumar
भारतेश्वर bharteshwar
भैरवी bhairavi
भार्य bharya
भास्करन bhaskaran
भसु bhasu
भौमिक bhaumik
भौतिक bhautik
भय bhay
भयप्रकाश bhayprakash
भाया bhaya
भावभुषन bhavbhushan
भावेश bhavesh
भाविक bhavik
भाविन bhavin
भावजीत bhavjit
भावमोचन bhavmochan
भावसागर bhavsagar
भय्या bhayya
भवानी bhavani
भवानीवल्लभ bhavanivallabh
भवानीदास bhavanidas
भवानीपती bhavanipati
भावेश bhavesh
भयंकर bhayankar
भीम bheem
भिमेश्वर bhimeshwar
बेरु beru
भिष्म bhishma
भिक्षा bhiksha
भिम bhim
भिमकुमार bhimkumar
भिमपाल bhimpal
भिमकुमार bhimkumar
भिमराज bhimraj
भिष्मप्रताप bhishmapratap
भिष्मक bhishmak
भिश्वास bhishwas
भोगींद्र bhogindra
भोईपती bhoipati
भोजराज bhojraj
भोला bhola
भोलानाथ bholanath
भोलानंद bholanand
भोलाशंकर bholashankar
भुमिंद्र bhumindra
भूप bhup
भूपद bhupad
भूपाल bhupal
भूपती bhupati
भूतेश bhutesh
भूतेश्वर bhuteshwar
भृगराम bhrigram
भृगुराम bhriguram
भुपाल bhupal
भुपती bhupati
भुदेव bhudeo
भुधर bhudhar
भुजंग bhujang
भुजंगा bhujanga
भुकर्ण bhukarna
भुकर्णा bhukarna
भुमन bhuman
भुमन्यु bhumanyu
भुमी bhumi
भुमिधर bhumidhar
भुमिजी bhumiji
भुमिंद्र bhumindra
भुमिपती bhumipati
भुमिसेन bhumisen
भुपेन bhupen
भुपेंद्र bhupendra
भुपेश bhupesh
भुपेश्वर bhupeshwar
भुपिंदर bhupindar
भुपिंदरपाल bhupindarpal
भुरेलाल bhurelal
भुरी bhuri
भुषन bhushan
भुशित bhushit
भुवन bhuvan
भुवनेश्वर bhuvaneshwar
भुवनमोहन bhuvanmohan
भुवनीश bhuvnish
भुवनेश bhuvnesh
भुवनपती bhuvanpati
भुवनराज bhuvanraj
भुवन्यु bhuvanyu
बिभस्तु bibhastu
बिदुल bidul
बिद्युत bidyut
बिहारी bihari
बिजिन bijin
बिलाल bilal
बिकास bikas
बिनी bini
बिल्ल billa
बिमल bimal
बिमन biman
बिंबक bimbak
बिंबेश्वर bimbeshwar
बिंबित bimbit
बिंदेश्वर bindeshwar
बिंदु bindu
बिंदोद bindod
बिंदुमाधव bindumadhav
बिंदुनाथ bindunath
बिंदुसर bindusar
बिंकी binki
बिनोत binot
बिनु binu
बिपिन bipin
बिपुल bipul
बिर bir
बिराज biraj
बिरबल birbal
बिरेन biren
बिरेंद्र birendra
बिरिंदर birindar
बिसाज bisaj
बिशनपाल bishanpal
बिश्र bishra
बिशवंत bishvant
बिस्मीत bismit
बितन bitan
बिट्टु bittu
बोध bodh
बोधन bodhan
बोधेंद्र bodhendra
बोधिसत्व bodhisatva
बोधिमाया bodhimaya
ब्रह्मा brahma
ब्रह्मप्रकाश brahmaprakash
ब्रह्मजीत brahmajeet
ब्रम्ह bramha
ब्रम्हप्रकाश brahmaprakash
ब्रम्हकुमार brahmakumar
ब्रम्हानंदन brahmanandan
ब्रम्हदत्त brahmadutt
ब्रम्हघोष brahmaghosh
ब्रम्हाजी brahmaji
ब्रम्हजीत brahmajeet
ब्रम्हानंद brahmanand
ब्रम्हराज brahmaraj
ब्रम्हदेव brahmadeo
ब्रज braj
ब्रह्मवीर brahmaveer
ब्रजबिहारी brajbihari
ब्रजभुषन brajbhushan
ब्रजमोहन brajmohan
ब्रजनाथ brajnath
ब्रजेंद्र brajendra
ब्रजेश brajesh
ब्रजेश्वर brajeshwar
