अनुत्तम anuttam
निवाडे nivade
ह्यूगो hugo
शेज़विग schleswig
निळज nilaj
फोर्ट fort
सेवियर sevier
थियोडोर theodore
करूँगा karoonga
पेडर peder
उदीती uditi
ल्यूस luce
हाइड्रो hydro
प्रार्थना prarthana
जांभळी jambhali
लहार lahar
राधानगरी radhanagari
प्रिथा pritha
हार्से hersey
न्हालेवाडी nhalewadi
युस्रा yusra
हैं hai
नित्यगोपाल nityagopal
सुरिंदर surinder
दुदविंडी dudwindi
श्रीकांत shrikant
आर्यमान aryaman
फ़ार्मा pharma
मौल्या maulya
आदिया adiya
त्रिज्या trijya
वीरपूर virpur
इगलास iglas
लोकबर lokbar
दादरी dadri
सुंदरता sundarataa
सय्यद sayyad
देदियापाडा dediyapada
भास्कर bhaskar
फहद fahd
कला kala
राणे rane
टिल्टमैन tiltman
नगर nagar
पिट pitt
इत्तिफ़ाक़ ettifaq
नौ nau
मोकभणगी mokabhnagi
सनाह sanah
धर्माधिकारी dharmadhikari
रसाल rasaal
लैफायेट्ट lafayette
चलता chalta
मुसळवाडी musalwadi
डेगु daegu
मैली maili
ज़ेड्रियन xadrian
श्यांत shyant
अमरदेव amardeo
एहरेन ehren
आबू abu
जनरल्स generals
बाहि baahi
पॉलिश polish
शिरसमणी shirasmani
मारिओ mario
बोचाहा bochaha
कहानी kahani
वसंतलक्ष्मी vasantlaxmi
कुबेर kuber
गौरा gauraa
अम्बलियासन ambliyasan
टेलर tailor
हुसैन hussain
फ्रेंडस friends
गैडोलीनियम gadolinium
ज़र्का zarka
दरेवाडी darewadi
रामहिंगणी ramhingani
जंक्शन junction
रखेल rakhel
चांदे chande
सुब्रोस subros
ओबयाशी obayashi
बगदाद baghdad
यमाशिरो yamashiro
दिलदार dildar
ब्रेयरले brearley
जोगलखेड jogalkhed
मोरग morag
शिकवा shikwa
सुधाकर sudhakar
रोशन roshan
पालासावडे palasavade
लैक्रोस lacrosse
यिट्ज़हॅक yitzhak
छाँव chhaon
कोरहाळे korhale
देवळालै devlalai
साळुंखे salunkhe
बे bey
तागाराम taagaaraam
हडर्सफील्ड huddersfield
पयस्विनी payasvinee
कटारिया katariya
बॉम्बे bombay
कहानी kahani
मेलिटा melita
तिवाडी tiwadi
कोळसा kolasa
माळवदगाव malwadgaon
की ki
ओवरलैंड overland
अनिशा anisha
जलधारा jaldhara
ऑडर order
स्वॉर्ड sword
ज़हीर zaheer
टिकमगढ tikamgadh
परवेज parvej
नरेन naren
सेवा seva
ईश्वरस्वरुप ishwarswarup
कठोरजैनपूर kathorajainpur
डिक्लैन declan
चंदनिका chandnika
प्रभजीत prabhjeet
चंद्रभुषन chandrabhushan
एटा attah
राजिन rajin
चिरमिरी chirmiri
पुर्णा purna
देवेंद्र davendra
विश्वनाथ vishwanath
परमेश्वर parmeshwar
डोंगरगढ़ dongargarh
हारा haara
मिहिका mihika
इंड ind
अक्षी akshi
भिंड bhind
ईनयता inyata
बब्राळा babrala
सुरी suri
कळवण kalwan
चंदु chandu
इराकी iraqi
मॉडेल model
शकुंतलाबाई shakuntalabai
जतारी jatari
शेलार shelar
लैंड land
बसिमाह basimah
मोक्ष moksh
अवधि avadhi
चौहान chauhan
साहिब sahib
उकर्डा ukarda
मेहर meher
शुभ्रांशु shubhraanshu
आर्ट्स arts
न्यूबेरी newberry
कार्डिओम cardiome
हुद hud
वारशिंडे warshinde
रविनन्दन ravinandan
मार maar
बाबर babar
बिकता bikta
व्हाइट white
डकोटा dakota
धरमपाल dharampal
निवेदना nivedana
करमदीप karamdeep
वीरेंदर virendar
हिंगणकर hingankar
वाइडरदैन widerthan
तुहिना tuhina
बात baat
यूनिवर्सिटी university
अडवाणी advani
क्लैटसॉप clatsop
टेक्नोलॉजिस technologies
त्रिजगती trijagati
स्टील steel
बसाबी basabi
जोहारवाडी joharwadi
ज्वालका jwalaka
विकसाळ viksal
सबा saba
केकतपांगरी kekatpangari
गैलंट्स gallants
कटरा katara
चकोरी chakori
तळवडी talwadi
से se
एल्विन alvin
किनिवाडी kiniwadi
लुई louie
मुंगुसगाव mungusgaon
टेटम tatum
आडगाव adgaon
लैगार्डेयर lagardre
मिरजगी mirjagi
हरदीका hardika
लोमैन loman
गुड्डी guddi
सुचंद्र suchandra
तळेगाव talegaon
खामकरवाडी khamkarwadi
मुकद्दर muqaddar
कापुरवाडी kapurwadi
नफीस nafees
माजहवन mazavan
मैकडॉनल्ड्स mcdonalds
क्रोन krone
ईशा esha
जोहे johe
वाडी wadi
मुकाजी mukaji
क्रांती kranti
चम्पारन champaran
कपिस्तलाम kapisthalam
नागपूर nagpur
एलीन elle
रवन ravan
रिज़रवायर reservoir
एकराज ekraj
ब्लैकवेल blackwell
हेराल्ड herald
त्रिलोचन trilochan
नवनीत navnit
धिरेंद्र dhirendra
कैलाश kailash
पेटलवाड petalwad
कर्जी karji
चंद्रपर्णी chandraparni
असरवडा asarwada
अंबुनाथ ambunath
अनया anaya
एन्कोरेट anchoret
कंजन kanjan
कौशल्या kaushalya
आसिफ asif
अरुई arui
शकु shaku
परचुंडी parchundi
मुर्तंवडे murtanwade
मेगन megan
उत्तरा uttara
क्राउन crown
कुलॅग coolagh
सुर्यचंद्र suryachandra
बंसल bansal
वझे vajhe
म्युज़ियम museum
अश्तोना ashtona
खानापुर khanapur
ब्रैड brad
सतगुन satgun
चित्तरु chittaru
भड़सावले bhadsawale
हनुमान hanuman
चीनी chini
ओझर ozar
अच्चनेरा achchanera
गुफ़िक gufic
सिहाम siham
किरोळी kiroli
मेरिक meyrick
ग्वेनथ gwyneth
कनवद kanwad
तिरुपती tirupati
प्रेमनारायण premanaaraayan
फिदा fida
आम्रपाली amrapali
इंदरप्रीत indarpreet
चित्रपर्णी chitraparni
चारुलता charulata
खिर्डी khirdi
श्रेष्ठ shreshtha
जगतपाल jagatpal
लाखेगाव lakhegaon
परींद्र parindra
कुतुब kutub
नांदगावतांडा nandgavtanda
बारामती baramati
एरवाइन ervine
हवेली haveli
चाकरी chakari
इंद्रप्रस्थ indraprastha
संजीवन sanjivan
भूल bhool
आकार akaar
कोळघर kolghar
देविप्रसाद deviprasad
ब्लिगनॉट blignaut
तेजस्वी tejasvi
वाकण vakan
हरे hare
कॉर्गी corgi
आदर्शिनी adarshini
भडंगवाडी bhadangwadi
चिखली chikhali
चारोटी charoti
गोदावरी godavari
फोर्ट fort
परमगीत paramgeet
चिटनीस chitnis
खापरटोन khaparton
मोरले morale
पाचंग्री pachangri
मणिराम maniram
चिंचोलीशिंगणे chincholishingane
क़ुत्ब qutb
गोरमा gorama
एऑन aon
मिल्टन milton
कीर्तना kirtana
पॅट pat
श्रीकीर्ती shrikirti
मैरेंगो marengo
मीना meena
मधुवर्षा madhuvarsha
सुमीत sumit
लक्षणा lakshana
कामना kamana
गोपा gopa
राम ram
होकर्ण hokarna
का ka
घोडेगाव ghodegaon
अचला achala
बंसल bansal
ग्वाटेमाला guatemala
पोखले pokhale
हमारा hamara
यश yash
मदा mada
तरंगवाडी tarangwadi
दो do
धानोरीबुद्रुक dhanoribudruk
फनिश fanish
प्रशम prasham
ज़ुकोव zhukov
मधुबाला madhubala
वनश्री vanshri
कासरगाव kasargaon
त्रिकया trikaya
अक्करपट्टा akkarpatta
कावली kavali
एब्रिल abril
वेस्ट west
दौलताबाद daulatabad
खरे khare
सेवती sevati
नागार्जुना nagarjuna
रायसेन raysen
पांघरीखुर्द panghrikhurd
बेलीबुद्रुक belibudruk
करहाळा karhala
फत्तुजी fattuzi
कॉर्प corp
लोहगाव lohgaon
सड़क sadak
बंसी bansi
कोनेवाडी konewadi
धात्री dhatri
क्लिंटन clinton
में mein
रावेत rawet
रोज़ीना rosina
भोजपुर bhojpur
एकंब ekamb
पोखरणीदेवी pokharanidevi
कम्युनिकेशन communications
लीडिंग leading
अजूबा ajooba
सुमिरन sumiran
द the
जांभुरुन jambhurun
अंगूरी angoori
डकैत dacait
शेरीज sherise
गंगेवाडी gangewadi
तीर्थराज tirtharaj
शर्मा sharma
बजरंग bajrang
दहाड़े dahade
ड्रेआ drea
कोकणस्थ kokanastha
आकाश akash
आतिक aatik
कुष्ट kushta
चैल chail
फुलरवाडी fularwadi
मखाजा makhaja
इजिप्शियन egyptian
बेलवंडीखुर्द belvandikhurd
पुनवडी punwadi
योगीनाथ yoginath
अहमद ahmed
म्हाळुंगेखुर्द mhalungekhurd
सेन sen
शतधार shatadhaar
संतोषानंद santoshanand
सांझ sanjh
गरीब garib
मेंदरा mendara
ज़ोहरर zoehrer
कातोडा katoda
लयला layala
ऑफ of
शिभोजीत shibhojeet
हत्रून hatrun
एकोर्न acorn
पूर्णिका purnika
केंट kent
रतनगीत ratangeet
मोहरी mohari
कैलास kailas
द्वारकागंज dwarkaganj
सिविला sevilla
बातवाडीबुद्रुक batwadibudruk
भद्रावती bhadravati
गोलाई golai
प्रभु prabhu
दरीतोला darritola
कवरवाडी kavarwadi
नोला nola
कायमयरियाह qaymayriyah
अमरकांत amarkaant
रोड road
जगजीवन jagjivan
इब्न ibn
प्रभु prabhu
सासी sasi
प्रेस press
पांढरी pandhari
केवा keva
शिवशंकर shivshankar
ऑफ of
निळवंडे nilwande
रंगीन rangeen
गुरशरण gursharan
यार yaar
उदगीर udgir
वढुबुद्रुक vadhubudruk
करडगाव karadgaon
माखन maakhan
पहले pehle
माँ maa
जेनिका jennica
मालकोल्हारी malkolhari
पिकन्स pickens
बिशन bishan
ऐलुम ailum
ग्रेग greg
नकुल nakul
पोस्ट post
भागला bhagala
सिडोनी sidonie
चिचोंडी chichondi
ऐसी aisi
खुटबाव khutbav
गुणध gunadh
निलजी nilaji
प्रेम prem
छाप chhap
गरफॉन garrafon
अवार्ड award
म्युज़ियम museum
चोरवणे chorwane
मार्केस marchais
शैवी shaivi
जगदलवाडी jagdalwadi
काळयोगी kalyogi
अविनाश avinaash
धामोरी dhamori
मुरारी muraaree
होळ hol
स्पिटबैंक spitbank
मनोधर manodhar
खवरा khawara
तालाबंदी talabandi
हॉकी hockey
अय्यास्वामी ayyaswami
अंत्रीवाले antriwale
फिरोज़ा phiroza
नाइट्रोजन nitrogen
पिंपरीघाट pimprighat
कैलाशनाथ kailashnath
कासा kasa
सिब्लाट seblat
कवणा kavana
कोवेंदन kovendan
सोमेंद्र somendra
जयपुर jaipur
बबुआ babua
किरंदुल kirandul
गॉनकोर्ट goncourt
रामप्रिया rampriya
मुनीराज muniraj
विथ with
धर्मडोह dharmadoh
लोनीबुद्रुक lonibudruk
स्विमिंग swimming
प्रताप pratap
माड़ maad
चंद्रमणी chandramani
कानफोडी kanphodi
डेहणे dehane
माधवी madhavi
जलमुर्ती jalmurti
पटेगाव pategaon
हरिकृष्णा harikrishna
करेरा karera
माधोप्रसाद madhoprasad
पतेगाव pategaon
फतेह fateh
बैरागनिया bairagnia
आनीश anish
इरावत iravat
कतरड katrad
गोमर gomer
अमरेली amreli
म्युज़ियम museum
साईरत्ना sairatna
सार्थ saarth
कासार kasar
लिट्रेचर literature
मेरीज़ marys
टर्मिनस terminus
हाइड hyde
मैरिस maris
भंडारदरा bhandardara
कीगन keegan
ओकेंद्र okendra
तंजावुर thanjavur
कोतुर्डे koturde
शौकत shaukat
हरीशचंद्र harishchandra
पौलिना paulina
ज्ञानदेव gyaanadev
हरिप्रसाद hariprasad
राहटे rahate
प्रनेय praney
सुधिर sudhir
जूती joti
मुज़क्किर muzakkir
वर्जिनिया virginia
ईती iti
भांबरवाडी bhambarwadi
नीरजा niraja
ग्यानदीप gyandeep
बाभूळगाव babhulgaon
खान khan
कम्यूनिकेशंस communication
नागूर nagur
मियंदाद miandad
वाकी waki
फ़ेयड fayad
जयनारायन jaynarayan
कोगीलखुर्द kogilkhurd
फख्र fakhr
भक्त bhakt
किशनगंज kishanganj
मुंढे mundhe
शराफत sharafat
है hai
डोइठन doithan
केंडा kenda
खिरखिंडी khirkhindi
रफीगंज raphiganj
सिद्दनाथ siddanath
केंचेवाडी kenchewadi
चोरों choron
प्रिथुलोमा prithuloma
फेयरहैम fareham
फोर्ट fort
मिंटो minto
नीलकमल nilkamal
बिस्मीत bismit
विप्र vipra
मदारी madari
कोंडरी kondari
हनुमंत hanumant
शिवरी shivari
सुलफाह sulafah
मुक्तभा muktabha
माणगाव mangaon
कौल kaul
अत्रौली atrauli
मुधेगाव mudhegaon
अमृतकला amritkala
गुरदेव gurdev
अमित्युश amityush
कोळगाव kolgaon
जेतश्री jetashri
सर्विस service
अझिजपुर azijpur
मोहंती mohanti
नागेश्वरन nageshwaran
मैं main
ट्रिस्टे trieste
द्विजवाहन dvijavahan
ऑफ of
योकाडो yokado
जुनैद junaid
रंजना ranjana
रिचर्ड richard
नार्थउंब्रिया northumbria
श्रीनिवास shriniwas
शामली shamali
कासेगाव kasegaon
सहज sahaj
किच्छा kichha
आजाद ajaad
निवाणे nivane
कहीं kahin
देवराज devraj
कटर cutter
सेंटगॉबैन saintgobain
कुलकर्णी kulkarni
साहसपुर sahaspur
दयानन्द dayanand
मानसिका manasika
अनसिंघ ansingh
थेरेस therese
एडलेब्स adlabs
केली keli
डॉर्जन dorjan
गौरिका gaurika
पिंपरने pimparne
डोंगरगण dongragan
शदन shadan
इलाकी ilaaka
कैज kaij
शिकारपुरी shikarpuri
दो do
ज़ोल्टिन zoltin
प्रतुल pratul
जैतु jaitu
आँख ankh
घाटनांदुर ghatnandur
इतो ito
साहिब sahib
नोरिना norina
मुहासिन muhasin
गोपीना gopina
गंधर्वराजु gandharvaraju
कवठे kavathe
हरताळा hartala
सैप sap
बाकिर baaqir
योगप्रभा yogprabha
हाशिम hashim
कानून kanoon
छोरी chhori
वतन watan
झूठा jhoota
समीनाह sameenah
सुखजोत sukhjot
खेडा kheda
दिलीप dilip
विभास vibhas
मिरिकर mirikar
मुनीर muneer
केस्लर kesler
अनुमाया anumaya
गौरी gauri
लीला leela
स्कंदा skanda
ईएक्सएफ़ओ exfo
गोरख gorakh
मजीठा majitha
समर samar
मांडवे mandave
भटकल bhatkal
दत्तादेवी dattadevi
किंग king
कारंबवणे karambwane
संक्रांती sankranti
शाह shah
डाकूपिंपरी dakupimpari
रामगड ramgad
कांचना kanchana
क्लोरिस cloris
बहादुर bahadur
माया maayaa
राजुरी rajuri
रुपसागर rupsagar
कसम kasam
नागझरी nagzari
उमा uma
बिमन biman
सोसायटी socit
लवंगी lavangi
कामण kaman
कायाकिंग kayaking
ऑफ of
मुलाज mulaj
इनिसफॉलन innisfallen
चाएली chaeli
मुली muli
विश्वकल्पा vishwakalpa
पडाळीकेसे padalikese
हार्वी harvy
गौलबुद्रुक gaulbudruk
हैट्स hats
भूतमुगली bhutmugali
देवांशिष devanshish
लोउ lou
पिंपरीआढाव pimpriadhav
पिसा pisa
पृथ्वी prithvi
शिव shiv
आनंदवाडी anandwadi
हदोली hadoli
खडका khadaka
हरिदेव harideo
कोल्हारी kolhari
तिनखाडी tinkhadi
मोज moj
हिंगनी hingani
लीग league
अधौरी adhauri
कविन kavin
उर्व urva
मुक्ति mukti
उजेशा ujesha
लेटर्स letters
सिमगा simaga
यतिनाथ yatinath
करमाळा karmala
अहमद ahmed
शुरफा shurafa
नौखा naukha
लंदन london
जयदुर्गा jaydurga
विवेक vivek
मैं main
यज्ञवाहन yadnyavahan
सुखजीत sukhjit
जसखार jaskhar
लीली leeli
की ki
ऑफ of
रिवॉल्ट revolt
अर्वेन arwen
उल्फत ulfat
दुर्जेय durjey
पायल payal
अफ़्रीका africa
मेटल metal
सत्यभामा satyabhama
विवाह vivah
गोपकिशोरी gopkishori
निगडी nigadi
चंद्रमोहन chandramohan
वेनडियम vanadium
देवेगाव devegaon
पेंटर painter
सईद said
शृंगारपूर shringarpur
मट्टा matta
के ke
सिलीस sileas
गुहिरे guhire
यूनिवर्सिटी university
द the
सैतवडे saitvade
आदिनाथ adinath
जर्मन german
ईप्सिता ipsita
जलौन jalaun
विसाला visala
जलालाबाद jalalabad
रीमझीम rimzim
विभासवासु vibhasvasu
रैताळे raitale
खडतगाव khadatgaon
स्वामीनाथ swaminath
कैटलिन katelynn
चार char
तबिश tabish
ईक्षा iksha
स्ट्रीट street
बोटा bota
महिदेव mahideo
भटिया bhatiya
मुकुंद mukand
मोहमाया mohmaya
गोल्डस्मिथ goldsmith
तुरया turaya
सुदेशा sudesha
नशा nasha
अंतरा antara
गुलहळ्ळी gulhalli
बेलीखुर्द belikhurd
गुदसुर gudsur
पेंडसे pendse
मजलेशहर majleshahar
आनंदिनी anandinee
चीमचंबा chimchamba
सुकेशी sukeshi
लटकेवाडी latkewadi
दिवाकर divakar
कोनड konad
इंक्रेडिमेल incredimail
उद्दार uddar
चाइना china
प्रेमजा premaja
करजन karjan
दानपाल danpal
शबीब shabib
माळी mali
फर्नेंडो fernando
स्वान swann
उत्कलिता utkalita
रॉलेंड roland
दहिगावशे dahigavashe
कशथा kashatha
जसलीन jaslin
बैरनऑफ baranof
मन्यारा manyara
आभीर aabheer
अवी avi
व्हिट्टल whittall
सुधांग sudhang
मलागा malaga
नळावणे nalawane
धारी dhari
बारे baare
इंदुरेखा indurekha
नीहार nihar
बदरी badari
मांगरुळ mangrul
पौलाचीवाडी paulachiwadi
गाला gala
प्रेमसिंह premasinh
हिंगणीनिंब hingninimb
देवाधिप devadhip
आरा ara
गजगामिनी gajgamini
घुघुली ghughuli
डिप्लोमैटिक diplomatic
दिवे dive
खाँ khan
प्रगुन pragun
यमन yaman
पंढरपुर pandharpur
कासवंड kasvand
दुंधे dundhe
डॉन dawn
रोठखुर्द rothkhurd
रॉड rod
डिप्लोमैटिक diplomatic
की ki
जब्बार jabbaar
कंप्यूटर्स computers
उर्मिला urmila
नवरंगपूरा navrangpura
रुख़सत rukhsat
उरुळगाव urulgaon
पुखराज pukhraj
तानाबाई tanabai
सफाळे saphale
लुथेरान lutheran
सोनविहिर sonvihir
विलियम william
करके karke
दरसांगवी darsangavi
उदभोद udbhod
मेर्विन mervin
बुंगा bunga
सन्डिआ sandia
ऑफ़ of
फ़्रेक frank
नरेन्दर narendar
ऑफ of
रावळगाव rawalgaon
प्रवरा prawara
हैन्फ़र hefner
स्वैनसन swanson
टर्ली turley
कौतुअळी kautuali
पंजाब punjab
कृष्णप्रकाश krishnaprakash
उक्वा ukva
नॉर्थ north
थिलिना thilina
राजुरी rajuri
खिदाश khidash
बजरंगबली bajrangbali
लेखा lekha
जॉर्ज george
मुरलीधर muralidhar
